agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,5625.0,,-5625.0,0,5625.0,0.0,0.0
H1,,,,625.0,274,,,,574,325.0,899.0,574,0.0,0.0
H2,,,,343.0,74,,,,500,-83.0,417.0,500,0.0,0.0
H3,,,,907.0,,,,,2848,-1941.0,907.0,2848,0.0,0.0
H4,,,,625.0,2348,,,,10019,-7046.0,2973.0,10019,0.0,0.0
H5,,,,625.0,9519,,,,774,9370.0,10144.0,774,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_long,,,,833.3333333333334,500,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
SYSTEM,,,,5625.0,14715,,,5625.0,14715,0,20340.0,20340.0,0.0,0.0
SYSTEM,system,System Total,20340.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,20340.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
