agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,27000.0,,-27000.0,0,27000.0,0.0,0.0
H1,,,,5869.0,,,,,7265,-1396.0,5869.0,7265,0.0,0.0
H2,,,,3090.0,6765,,,,,9855.0,9855.0,0,0.0,0.0
H3,,,,4349.0,,,,,,4349.0,4349.0,0,0.0,0.0
H4,,,,6561.0,,,,,2393,4168.0,6561.0,2393,0.0,0.0
H5,,,,3631.0,1893,,,,,5524.0,5524.0,0,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,1666.6666666666665,,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_long,,,,1166.6666666666665,,,,,,1166.6666666666665,1166.6666666666665,0,0.0,0.0
SYSTEM,,,,27000.0,9658,,,27000.0,9658,0,36658.0,36658.0,0.0,0.0
SYSTEM,system,System Total,36658.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,36658.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
