agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,8500.0,,-8500.0,0,8500.0,0.0,0.0
H1,,,,1250.0,4718,,,,2250,3718.0,5968.0,2250,0.0,0.0
H2,,,,174.0,1750,,,,500,1424.0,1924.0,500,0.0,0.0
H3,,,,2326.0,,,,,4541,-2215.0,2326.0,4541,0.0,0.0
H4,,,,1250.0,4041,,,,1413,3878.0,5291.0,1413,0.0,0.0
H5,,,,1250.0,913,,,,5218,-3055.0,2163.0,5218,0.0,0.0
big_short,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_mid,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_long,,,,750.0,500,,,,,1250.0,1250.0,0,0.0,0.0
SYSTEM,,,,8500.0,13922,,,8500.0,13922,0,22422.0,22422.0,0.0,0.0
SYSTEM,system,System Total,22422.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,22422.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
