agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,26250.0,-26250.0,0,26250.0,0.0,0.0
H1,,,,9301.0,,,,9301.0,9301.0,0,0.0,0.0
H2,,,,650.0,,,,650.0,650.0,0,0.0,0.0
H3,,,,6162.0,,,,6162.0,6162.0,0,0.0,0.0
H4,,,,5239.0,,,,5239.0,5239.0,0,0.0,0.0
H5,,,,1148.0,,,,1148.0,1148.0,0,0.0,0.0
big_short,,,,1416.6666666666667,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,1416.6666666666667,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,916.6666666666667,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
SYSTEM,,,,26250.0,,,26250.0,0,26250.0,26250.0,0.0,0.0
SYSTEM,system,System Total,26250.0,,Total Assets,summary,,,,,,
SYSTEM,system,System Total,26250.0,,Total Liabilities,summary,,,,,,
SYSTEM,system,System Total,0.0,,Total Equity,summary,,,,,,
