agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,14375.0,,-14375.0,0,14375.0,0.0,0.0
H1,,,,2500.0,6860,,,,500,8860.0,9360.0,500,0.0,0.0
H2,,,,2000.0,0,,,,,2000.0,2000.0,0,0.0,0.0
H3,,,,2500.0,,,,,2752,-252.0,2500.0,2752,0.0,0.0
H4,,,,2500.0,2252,,,,3886,866.0,4752.0,3886,0.0,0.0
H5,,,,2500.0,3386,,,,7360,-1474.0,5886.0,7360,0.0,0.0
big_short,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_mid,,,,1125.0,500,,,,,1625.0,1625.0,0,0.0,0.0
big_long,,,,625.0,500,,,,,1125.0,1125.0,0,0.0,0.0
SYSTEM,,,,14375.0,14498,,,14375.0,14498,0,28873.0,28873.0,0.0,0.0
SYSTEM,system,System Total,28873.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,28873.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
