agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,14500.0,,-14500.0,0,14500.0,0.0,0.0
H1,,,,2500.0,1809,,,,4006,303.0,4309.0,4006,0.0,0.0
H2,,,,2500.0,3506,,,,3234,2772.0,6006.0,3234,0.0,0.0
H3,,,,2500.0,2734,,,,2115,3119.0,5234.0,2115,0.0,0.0
H4,,,,2500.0,1615,,,,3333,782.0,4115.0,3333,0.0,0.0
H5,,,,2500.0,2833,,,,2309,3024.0,5333.0,2309,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_long,,,,666.6666666666666,500,,,,,1166.6666666666665,1166.6666666666665,0,0.0,0.0
SYSTEM,,,,14500.0,14997,,,14500.0,14997,0,29497.0,29497.0,0.0,0.0
SYSTEM,system,System Total,29497.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,29497.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
