agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,14375.0,,-14375.0,0,14375.0,0.0,0.0
H1,,,,2500.0,1660,,,,4163,-3.0,4160.0,4163,0.0,0.0
H2,,,,318.0,3663,,,,500,3481.0,3981.0,500,0.0,0.0
H3,,,,4682.0,,,,,1076,3606.0,4682.0,1076,0.0,0.0
H4,,,,2500.0,576,,,,4917,-1841.0,3076.0,4917,0.0,0.0
H5,,,,2500.0,4417,,,,2160,4757.0,6917.0,2160,0.0,0.0
big_short,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_mid,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_long,,,,625.0,500,,,,,1125.0,1125.0,0,0.0,0.0
SYSTEM,,,,14375.0,12816,,,14375.0,12816,0,27191.0,27191.0,0.0,0.0
SYSTEM,system,System Total,27191.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,27191.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
