agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,13750.0,,-13750.0,0,13750.0,0.0,0.0
H1,,,,2500.0,326,,,,1501,1325.0,2826.0,1501,0.0,0.0
H2,,,,2500.0,1001,,,,5027,-1526.0,3501.0,5027,0.0,0.0
H3,,,,2500.0,4527,,,,3522,3505.0,7027.0,3522,0.0,0.0
H4,,,,2500.0,3022,,,,4120,1402.0,5522.0,4120,0.0,0.0
H5,,,,2500.0,3620,,,,826,5294.0,6120.0,826,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
SYSTEM,,,,13750.0,14996,,,13750.0,14996,0,28746.0,28746.0,0.0,0.0
SYSTEM,system,System Total,28746.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,28746.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
