agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,27250.0,,-27250.0,0,27250.0,0.0,0.0
H1,,,,4500.0,14,,,,500,4014.0,4514.0,500,0.0,0.0
H2,,,,3970.0,,,,,500,3470.0,3970.0,500,0.0,0.0
H3,,,,6243.0,,,,,500,5743.0,6243.0,500,0.0,0.0
H4,,,,5287.0,,,,,10666,-5379.0,5287.0,10666,0.0,0.0
H5,,,,5000.0,10166,,,,514,14652.0,15166.0,514,0.0,0.0
big_short,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_mid,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_long,,,,750.0,500,,,,,1250.0,1250.0,0,0.0,0.0
SYSTEM,,,,27250.0,12680,,,27250.0,12680,0,39930.0,39930.0,0.0,0.0
SYSTEM,system,System Total,39930.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,39930.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
