agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,8750.0,,-8750.0,0,8750.0,0.0,0.0
H1,,,,1250.0,526,,,,3844,-2068.0,1776.0,3844,0.0,0.0
H2,,,,1250.0,3344,,,,2901,1693.0,4594.0,2901,0.0,0.0
H3,,,,1250.0,2401,,,,2842,809.0,3651.0,2842,0.0,0.0
H4,,,,1250.0,2342,,,,4384,-792.0,3592.0,4384,0.0,0.0
H5,,,,1250.0,3884,,,,1026,4108.0,5134.0,1026,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_long,,,,833.3333333333334,500,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
SYSTEM,,,,8750.0,14997,,,8750.0,14997,0,23747.0,23747.0,0.0,0.0
SYSTEM,system,System Total,23747.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,23747.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
