agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,27500.0,-27500.0,0,27500.0,0.0,0.0
H1,,,,6325.0,,,,6325.0,6325.0,0,0.0,0.0
H2,,,,1784.0,,,,1784.0,1784.0,0,0.0,0.0
H3,,,,6811.0,,,,6811.0,6811.0,0,0.0,0.0
H4,,,,3743.0,,,,3743.0,3743.0,0,0.0,0.0
H5,,,,3837.0,,,,3837.0,3837.0,0,0.0,0.0
big_short,,,,1833.3333333333335,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,1833.3333333333335,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_long,,,,1333.3333333333335,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
SYSTEM,,,,27500.0,,,27500.0,0,27500.0,27500.0,0.0,0.0
SYSTEM,system,System Total,27500.0,,Total Assets,summary,,,,,,
SYSTEM,system,System Total,27500.0,,Total Liabilities,summary,,,,,,
SYSTEM,system,System Total,0.0,,Total Equity,summary,,,,,,
