agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,5125.0,,-5125.0,0,5125.0,0.0,0.0
H1,,,,625.0,3418,,,,1701,2342.0,4043.0,1701,0.0,0.0
H2,,,,625.0,1201,,,,8373,-6547.0,1826.0,8373,0.0,0.0
H3,,,,625.0,7873,,,,505,7993.0,8498.0,505,0.0,0.0
H4,,,,625.0,5,,,,500,130.0,630.0,500,0.0,0.0
H5,,,,625.0,0,,,,3918,-3293.0,625.0,3918,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_long,,,,666.6666666666666,500,,,,,1166.6666666666665,1166.6666666666665,0,0.0,0.0
SYSTEM,,,,5125.0,14997,,,5125.0,14997,0,20122.0,20122.0,0.0,0.0
SYSTEM,system,System Total,20122.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,20122.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
