agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,5000.0,,-5000.0,0,5000.0,0.0,0.0
H1,,,,625.0,2994,,,,745,2874.0,3619.0,745,0.0,0.0
H2,,,,273.0,245,,,,500,18.0,518.0,500,0.0,0.0
H3,,,,977.0,,,,,9278,-8301.0,977.0,9278,0.0,0.0
H4,,,,625.0,8778,,,,628,8775.0,9403.0,628,0.0,0.0
H5,,,,625.0,128,,,,3494,-2741.0,753.0,3494,0.0,0.0
big_short,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_mid,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_long,,,,625.0,500,,,,,1125.0,1125.0,0,0.0,0.0
SYSTEM,,,,5000.0,14645,,,5000.0,14645,0,19645.0,19645.0,0.0,0.0
SYSTEM,system,System Total,19645.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,19645.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
