agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,14375.0,,-14375.0,0,14375.0,0.0,0.0
H1,,,,2500.0,2883,,,,604,4779.0,5383.0,604,0.0,0.0
H2,,,,1916.0,104,,,,,2020.0,2020.0,0,0.0,0.0
H3,,,,2584.0,,,,,9850,-7266.0,2584.0,9850,0.0,0.0
H4,,,,2500.0,9350,,,,577,11273.0,11850.0,577,0.0,0.0
H5,,,,2500.0,77,,,,3383,-806.0,2577.0,3383,0.0,0.0
big_short,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_mid,,,,1125.0,500,,,,,1625.0,1625.0,0,0.0,0.0
big_long,,,,625.0,500,,,,,1125.0,1125.0,0,0.0,0.0
SYSTEM,,,,14375.0,14414,,,14375.0,14414,0,28789.0,28789.0,0.0,0.0
SYSTEM,system,System Total,28789.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,28789.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
