agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,5625.0,,-5625.0,0,5625.0,0.0,0.0
H1,,,,625.0,450,,,,3099,-2024.0,1075.0,3099,0.0,0.0
H2,,,,625.0,2599,,,,1738,1486.0,3224.0,1738,0.0,0.0
H3,,,,625.0,1238,,,,3946,-2083.0,1863.0,3946,0.0,0.0
H4,,,,625.0,3446,,,,5264,-1193.0,4071.0,5264,0.0,0.0
H5,,,,625.0,4764,,,,950,4439.0,5389.0,950,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_long,,,,833.3333333333334,500,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
SYSTEM,,,,5625.0,14997,,,5625.0,14997,0,20622.0,20622.0,0.0,0.0
SYSTEM,system,System Total,20622.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,20622.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
