agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,4375.0,,-4375.0,0,4375.0,0.0,0.0
H1,,,,625.0,5863,,,,2923,3565.0,6488.0,2923,0.0,0.0
H2,,,,625.0,2423,,,,1588,1460.0,3048.0,1588,0.0,0.0
H3,,,,625.0,1088,,,,1349,364.0,1713.0,1349,0.0,0.0
H4,,,,625.0,849,,,,2773,-1299.0,1474.0,2773,0.0,0.0
H5,,,,625.0,2273,,,,6363,-3465.0,2898.0,6363,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
SYSTEM,,,,4375.0,14996,,,4375.0,14996,0,19371.0,19371.0,0.0,0.0
SYSTEM,system,System Total,19371.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,19371.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
