agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,27500.0,,-27500.0,0,27500.0,0.0,0.0
H1,,,,5000.0,340,,,,500,4840.0,5340.0,500,0.0,0.0
H2,,,,4402.0,0,,,,,4402.0,4402.0,0,0.0,0.0
H3,,,,1513.0,,,,,,1513.0,1513.0,0,0.0,0.0
H4,,,,8085.0,,,,,9476,-1391.0,8085.0,9476,0.0,0.0
H5,,,,5000.0,8976,,,,840,13136.0,13976.0,840,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,1333.3333333333335,500,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_long,,,,1333.3333333333335,,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
SYSTEM,,,,27500.0,10816,,,27500.0,10816,0,38316.0,38316.0,0.0,0.0
SYSTEM,system,System Total,38316.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,38316.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
