agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,14500.0,,-14500.0,0,14500.0,0.0,0.0
H1,,,,2500.0,1959,,,,890,3569.0,4459.0,890,0.0,0.0
H2,,,,199.0,390,,,,,589.0,589.0,0,0.0,0.0
H3,,,,4301.0,,,,,5418,-1117.0,4301.0,5418,0.0,0.0
H4,,,,2500.0,4918,,,,3929,3489.0,7418.0,3929,0.0,0.0
H5,,,,2500.0,3429,,,,2459,3470.0,5929.0,2459,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,1166.6666666666665,500,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_long,,,,666.6666666666666,500,,,,,1166.6666666666665,1166.6666666666665,0,0.0,0.0
SYSTEM,,,,14500.0,12696,,,14500.0,12696,0,27196.0,27196.0,0.0,0.0
SYSTEM,system,System Total,27196.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,27196.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
