agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,4375.0,,-4375.0,0,4375.0,0.0,0.0
H1,,,,625.0,1804,,,,6161,-3732.0,2429.0,6161,0.0,0.0
H2,,,,625.0,5661,,,,1924,4362.0,6286.0,1924,0.0,0.0
H3,,,,625.0,1424,,,,1696,353.0,2049.0,1696,0.0,0.0
H4,,,,625.0,1196,,,,2912,-1091.0,1821.0,2912,0.0,0.0
H5,,,,625.0,2412,,,,2304,733.0,3037.0,2304,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
SYSTEM,,,,4375.0,14997,,,4375.0,14997,0,19372.0,19372.0,0.0,0.0
SYSTEM,system,System Total,19372.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,19372.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
