agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,13750.0,,-13750.0,0,13750.0,0.0,0.0
H1,,,,2500.0,2915,,,,4889,526.0,5415.0,4889,0.0,0.0
H2,,,,683.0,4389,,,,,5072.0,5072.0,0,0.0,0.0
H3,,,,3817.0,,,,,2125,1692.0,3817.0,2125,0.0,0.0
H4,,,,2500.0,1625,,,,2753,1372.0,4125.0,2753,0.0,0.0
H5,,,,2500.0,2253,,,,3415,1338.0,4753.0,3415,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,916.6666666666667,500,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
SYSTEM,,,,13750.0,13182,,,13750.0,13182,0,26932.0,26932.0,0.0,0.0
SYSTEM,system,System Total,26932.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,26932.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
