agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,5375.0,,-5375.0,0,5375.0,0.0,0.0
H1,,,,625.0,1958,,,,3957,-1374.0,2583.0,3957,0.0,0.0
H2,,,,625.0,3457,,,,2894,1188.0,4082.0,2894,0.0,0.0
H3,,,,625.0,2394,,,,3208,-189.0,3019.0,3208,0.0,0.0
H4,,,,625.0,2708,,,,2481,852.0,3333.0,2481,0.0,0.0
H5,,,,625.0,1981,,,,2458,148.0,2606.0,2458,0.0,0.0
big_short,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_mid,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_long,,,,750.0,500,,,,,1250.0,1250.0,0,0.0,0.0
SYSTEM,,,,5375.0,14998,,,5375.0,14998,0,20373.0,20373.0,0.0,0.0
SYSTEM,system,System Total,20373.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,20373.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
