agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,13750.0,,-13750.0,0,13750.0,0.0,0.0
H1,,,,2444.0,4851,,,,500,6795.0,7295.0,500,0.0,0.0
H2,,,,968.0,,,,,500,468.0,968.0,500,0.0,0.0
H3,,,,3684.0,,,,,500,3184.0,3684.0,500,0.0,0.0
H4,,,,2904.0,,,,,6098,-3194.0,2904.0,6098,0.0,0.0
H5,,,,2500.0,5598,,,,5351,2747.0,8098.0,5351,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
SYSTEM,,,,13750.0,12949,,,13750.0,12949,0,26699.0,26699.0,0.0,0.0
SYSTEM,system,System Total,26699.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,26699.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
