agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,7500.0,,-7500.0,0,7500.0,0.0,0.0
H1,,,,1250.0,4700,,,,1891,4059.0,5950.0,1891,0.0,0.0
H2,,,,1250.0,1391,,,,2965,-324.0,2641.0,2965,0.0,0.0
H3,,,,1250.0,2465,,,,3758,-43.0,3715.0,3758,0.0,0.0
H4,,,,1250.0,3258,,,,1185,3323.0,4508.0,1185,0.0,0.0
H5,,,,1250.0,685,,,,5200,-3265.0,1935.0,5200,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
SYSTEM,,,,7500.0,14999,,,7500.0,14999,0,22499.0,22499.0,0.0,0.0
SYSTEM,system,System Total,22499.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,22499.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
