agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,8125.0,,-8125.0,0,8125.0,0.0,0.0
H1,,,,1250.0,583,,,,2901,-1068.0,1833.0,2901,0.0,0.0
H2,,,,1250.0,2401,,,,3521,130.0,3651.0,3521,0.0,0.0
H3,,,,1250.0,3021,,,,4884,-613.0,4271.0,4884,0.0,0.0
H4,,,,1250.0,4384,,,,2609,3025.0,5634.0,2609,0.0,0.0
H5,,,,1250.0,2109,,,,1083,2276.0,3359.0,1083,0.0,0.0
big_short,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_mid,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_long,,,,625.0,500,,,,,1125.0,1125.0,0,0.0,0.0
SYSTEM,,,,8125.0,14998,,,8125.0,14998,0,23123.0,23123.0,0.0,0.0
SYSTEM,system,System Total,23123.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,23123.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
