agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,8125.0,,-8125.0,0,8125.0,0.0,0.0
H1,,,,1255.0,,,,,4392,-3137.0,1255.0,4392,0.0,0.0
H2,,,,742.0,3892,,,,,4634.0,4634.0,0,0.0,0.0
H3,,,,1258.0,,,,,2471,-1213.0,1258.0,2471,0.0,0.0
H4,,,,1250.0,1971,,,,7121,-3900.0,3221.0,7121,0.0,0.0
H5,,,,745.0,6621,,,,,7366.0,7366.0,0,0.0,0.0
big_short,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_mid,,,,1625.0,,,,,,1625.0,1625.0,0,0.0,0.0
big_long,,,,625.0,500,,,,,1125.0,1125.0,0,0.0,0.0
SYSTEM,,,,8125.0,13984,,,8125.0,13984,0,22109.0,22109.0,0.0,0.0
SYSTEM,system,System Total,22109.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,22109.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
