agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,5375.0,,-5375.0,0,5375.0,0.0,0.0
H1,,,,625.0,1008,,,,3098,-1465.0,1633.0,3098,0.0,0.0
H2,,,,625.0,2598,,,,8110,-4887.0,3223.0,8110,0.0,0.0
H3,,,,625.0,7610,,,,763,7472.0,8235.0,763,0.0,0.0
H4,,,,625.0,263,,,,1518,-630.0,888.0,1518,0.0,0.0
H5,,,,625.0,1018,,,,1508,135.0,1643.0,1508,0.0,0.0
big_short,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_mid,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_long,,,,750.0,500,,,,,1250.0,1250.0,0,0.0,0.0
SYSTEM,,,,5375.0,14997,,,5375.0,14997,0,20372.0,20372.0,0.0,0.0
SYSTEM,system,System Total,20372.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,20372.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
