agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,5625.0,,-5625.0,0,5625.0,0.0,0.0
H1,,,,625.0,,,,,12562,-11937.0,625.0,12562,0.0,0.0
H2,,,,125.0,12062,,,,,12187.0,12187.0,0,0.0,0.0
H3,,,,625.0,,,,,937,-312.0,625.0,937,0.0,0.0
H4,,,,625.0,437,,,,500,562.0,1062.0,500,0.0,0.0
H5,,,,125.0,0,,,,,125.0,125.0,0,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,1833.3333333333335,,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_long,,,,833.3333333333334,500,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
SYSTEM,,,,5625.0,13999,,,5625.0,13999,0,19624.0,19624.0,0.0,0.0
SYSTEM,system,System Total,19624.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,19624.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
