agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,26875.0,-26875.0,0,26875.0,0.0,0.0
H1,,,,5038.0,,,,5038.0,5038.0,0,0.0,0.0
H2,,,,3599.0,,,,3599.0,3599.0,0,0.0,0.0
H3,,,,4925.0,,,,4925.0,4925.0,0,0.0,0.0
H4,,,,4579.0,,,,4579.0,4579.0,0,0.0,0.0
H5,,,,4359.0,,,,4359.0,4359.0,0,0.0,0.0
big_short,,,,1625.0,,,,1625.0,1625.0,0,0.0,0.0
big_mid,,,,1625.0,,,,1625.0,1625.0,0,0.0,0.0
big_long,,,,1125.0,,,,1125.0,1125.0,0,0.0,0.0
SYSTEM,,,,26875.0,,,26875.0,0,26875.0,26875.0,0.0,0.0
SYSTEM,system,System Total,26875.0,,Total Assets,summary,,,,,,
SYSTEM,system,System Total,26875.0,,Total Liabilities,summary,,,,,,
SYSTEM,system,System Total,0.0,,Total Equity,summary,,,,,,
