agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,5125.0,,-5125.0,0,5125.0,0.0,0.0
H1,,,,625.0,6351,,,,890,6086.0,6976.0,890,0.0,0.0
H2,,,,57.0,390,,,,500,-53.0,447.0,500,0.0,0.0
H3,,,,1193.0,,,,,2585,-1392.0,1193.0,2585,0.0,0.0
H4,,,,625.0,2085,,,,3603,-893.0,2710.0,3603,0.0,0.0
H5,,,,625.0,3103,,,,6851,-3123.0,3728.0,6851,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_long,,,,666.6666666666666,500,,,,,1166.6666666666665,1166.6666666666665,0,0.0,0.0
SYSTEM,,,,5125.0,14429,,,5125.0,14429,0,19554.0,19554.0,0.0,0.0
SYSTEM,system,System Total,19554.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,19554.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
