agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,27000.0,,-27000.0,0,27000.0,0.0,0.0
H1,,,,2640.0,,,,,,2640.0,2640.0,0,0.0,0.0
H2,,,,7771.0,,,,,,7771.0,7771.0,0,0.0,0.0
H3,,,,5892.0,,,,,932,4960.0,5892.0,932,0.0,0.0
H4,,,,293.0,432,,,,500,225.0,725.0,500,0.0,0.0
H5,,,,6904.0,,,,,,6904.0,6904.0,0,0.0,0.0
big_short,,,,1166.6666666666665,500,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,1666.6666666666665,,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_long,,,,666.6666666666666,500,,,,,1166.6666666666665,1166.6666666666665,0,0.0,0.0
SYSTEM,,,,27000.0,1432,,,27000.0,1432,0,28432.0,28432.0,0.0,0.0
SYSTEM,system,System Total,28432.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,28432.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
