agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,5125.0,,-5125.0,0,5125.0,0.0,0.0
H1,,,,625.0,1343,,,,4505,-2537.0,1968.0,4505,0.0,0.0
H2,,,,108.0,4005,,,,,4113.0,4113.0,0,0.0,0.0
H3,,,,642.0,,,,,513,129.0,642.0,513,0.0,0.0
H4,,,,625.0,13,,,,7619,-6981.0,638.0,7619,0.0,0.0
H5,,,,625.0,7119,,,,1843,5901.0,7744.0,1843,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,1166.6666666666665,500,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_long,,,,666.6666666666666,500,,,,,1166.6666666666665,1166.6666666666665,0,0.0,0.0
SYSTEM,,,,5125.0,14480,,,5125.0,14480,0,19605.0,19605.0,0.0,0.0
SYSTEM,system,System Total,19605.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,19605.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
