agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,15000.0,,-15000.0,0,15000.0,0.0,0.0
H1,,,,2500.0,19,,,,3582,-1063.0,2519.0,3582,0.0,0.0
H2,,,,2500.0,3082,,,,9540,-3958.0,5582.0,9540,0.0,0.0
H3,,,,2500.0,9040,,,,857,10683.0,11540.0,857,0.0,0.0
H4,,,,2500.0,357,,,,500,2357.0,2857.0,500,0.0,0.0
H5,,,,2500.0,0,,,,519,1981.0,2500.0,519,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_long,,,,833.3333333333334,500,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
SYSTEM,,,,15000.0,14998,,,15000.0,14998,0,29998.0,29998.0,0.0,0.0
SYSTEM,system,System Total,29998.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,29998.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
