agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,27000.0,,-27000.0,0,27000.0,0.0,0.0
H1,,,,5000.0,8053,,,,777,12276.0,13053.0,777,0.0,0.0
H2,,,,2961.0,277,,,,,3238.0,3238.0,0,0.0,0.0
H3,,,,3424.0,,,,,,3424.0,3424.0,0,0.0,0.0
H4,,,,7100.0,,,,,,7100.0,7100.0,0,0.0,0.0
H5,,,,5015.0,,,,,8553,-3538.0,5015.0,8553,0.0,0.0
big_short,,,,1166.6666666666665,500,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,1166.6666666666665,500,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_long,,,,1166.6666666666665,,,,,,1166.6666666666665,1166.6666666666665,0,0.0,0.0
SYSTEM,,,,27000.0,9330,,,27000.0,9330,0,36330.0,36330.0,0.0,0.0
SYSTEM,system,System Total,36330.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,36330.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
