run_id,phase,seed,n_agents,kappa,concentration,mu,monotonicity,S1,L0,phi_total,delta_total,max_G_t,alpha_1,Mpeak_1,v_1,HHIplus_1,time_to_stability,metrics_csv
grid_b6c1c8d4bd2f,grid,42,5,0.25,0.2,0,,500.0000000000000000000000000,2000,0.118712,0.881288,0,0.267606,59,1,0.728369,1,../runs/grid_b6c1c8d4bd2f/out/metrics.csv
grid_8256fa7be6cc,grid,43,5,0.25,0.2,0.25,,500.0000000000000000000000000,2000,,1,0,0.122244,0,,0.760253,1,../runs/grid_8256fa7be6cc/out/metrics.csv
grid_b277f3d2cd7e,grid,44,5,0.25,0.2,0.5,,500.0000000000000000000000000,2000,0.022088,0.977912,0,0,0,,1,3,../runs/grid_b277f3d2cd7e/out/metrics.csv
grid_102d8cc14db1,grid,45,5,0.25,0.2,0.75,,500.0000000000000000000000000,2000,0.236948,0.763052,0,0,0,,1,3,../runs/grid_102d8cc14db1/out/metrics.csv
grid_e373aed4f35f,grid,46,5,0.25,0.2,1,,500.0000000000000000000000000,2000,0.883534,0.116466,0,0,0,,0.933413,3,../runs/grid_e373aed4f35f/out/metrics.csv
grid_64ea298613b0,grid,47,5,0.25,0.5,0,,500.0000000000000000000000000,2000,0.210843,0.789157,0,0.558233,105,1,0.99095,1,../runs/grid_64ea298613b0/out/metrics.csv
grid_d472eeac89e2,grid,48,5,0.25,0.5,0.25,,500.0000000000000000000000000,2000,0.11245,0.88755,0,0.508032,54,1.037037,0.514002,1,../runs/grid_d472eeac89e2/out/metrics.csv
grid_2fc9765993af,grid,49,5,0.25,0.5,0.5,,500.0000000000000000000000000,2000,0.014028,0.985972,0,0,0,,0.551853,3,../runs/grid_2fc9765993af/out/metrics.csv
grid_6f9cfc3ec55a,grid,50,5,0.25,0.5,0.75,,500.0000000000000000000000000,2000,0.216867,0.783133,0,0,0,,0.898767,3,../runs/grid_6f9cfc3ec55a/out/metrics.csv
grid_8edbcfb238b3,grid,51,5,0.25,0.5,1,,500.0000000000000000000000000,2000,0.034205,0.965795,0,0,0,,0.8648,3,../runs/grid_8edbcfb238b3/out/metrics.csv
grid_7210a81cd059,grid,52,5,0.25,1,0,,500.0000000000000000000000000,2000,0.447791,0.552209,0,0.491968,220,1.013636,0.755909,1,../runs/grid_7210a81cd059/out/metrics.csv
grid_a435478513eb,grid,53,5,0.25,1,0.25,,500.0000000000000000000000000,2000,0.201207,0.798793,0,0.561368,100,1,0.502062,1,../runs/grid_a435478513eb/out/metrics.csv
grid_f265ade9b6be,grid,54,5,0.25,1,0.5,,500.0000000000000000000000000,2000,0.338028,0.661972,0,0,0,,0.916478,3,../runs/grid_f265ade9b6be/out/metrics.csv
grid_fb48bc998728,grid,55,5,0.25,1,0.75,,500.0000000000000000000000000,2000,0.014056,0.985944,0,0,0,,0.529444,3,../runs/grid_fb48bc998728/out/metrics.csv
grid_b00b769ae017,grid,56,5,0.25,1,1,,500.0000000000000000000000000,2000,0.480885,0.519115,0,0,0,,0.539061,3,../runs/grid_b00b769ae017/out/metrics.csv
grid_5fbbc9e12f24,grid,57,5,0.25,2,0,,500.0000000000000000000000000,2000,0.052209,0.947791,0,0.574297,16,1.625,0.593227,1,../runs/grid_5fbbc9e12f24/out/metrics.csv
grid_bc2b877c8df4,grid,58,5,0.25,2,0.25,,500.0000000000000000000000000,2000,0.207243,0.792757,0,0.521127,103,1,0.522068,1,../runs/grid_bc2b877c8df4/out/metrics.csv
grid_707a1112069e,grid,59,5,0.25,2,0.5,,500.0000000000000000000000000,2000,0.060362,0.939638,0,0,0,,0.676539,3,../runs/grid_707a1112069e/out/metrics.csv
grid_6c4988b036ff,grid,60,5,0.25,2,0.75,,500.0000000000000000000000000,2000,0.074447,0.925553,0,0,0,,0.7312,3,../runs/grid_6c4988b036ff/out/metrics.csv
grid_62c9a2849ccf,grid,61,5,0.25,2,1,,500.0000000000000000000000000,2000,0.259036,0.740964,0,0,0,,0.529011,3,../runs/grid_62c9a2849ccf/out/metrics.csv
grid_4470b615c48d,grid,62,5,0.25,5,0,,500.0000000000000000000000000,2000,0.736948,0.263052,0,0.869478,122,3.008197,0.330178,1,../runs/grid_4470b615c48d/out/metrics.csv
grid_fdbdc24e39b9,grid,63,5,0.25,5,0.25,,500.0000000000000000000000000,2000,0.562249,0.437751,0,0.668675,116,2.413793,0.510376,1,../runs/grid_fdbdc24e39b9/out/metrics.csv
grid_1c3be46b2abb,grid,64,5,0.25,5,0.5,,500.0000000000000000000000000,2000,0.192771,0.807229,0,0,0,,0.541991,3,../runs/grid_1c3be46b2abb/out/metrics.csv
grid_faecc01af6aa,grid,65,5,0.25,5,0.75,,500.0000000000000000000000000,2000,0.158954,0.841046,0,0,0,,0.5279,3,../runs/grid_faecc01af6aa/out/metrics.csv
grid_cf6b11810764,grid,66,5,0.25,5,1,,500.0000000000000000000000000,2000,0.108652,0.891348,0,0,0,,0.5135,3,../runs/grid_cf6b11810764/out/metrics.csv
grid_4556e4562a16,grid,67,5,0.5,0.2,0,,500.0000000000000000000000000,1000,,1,0,0.390782,0,,0.540015,1,../runs/grid_4556e4562a16/out/metrics.csv
